UCT Agent      13MiB       13MiB       20.3%   0.059737s
Recycle-UCT    0MiB        0MiB        20.3%   0.029171s
Recycle-UCT    3059MiB     3060MiB     20.3%   4.876854s
UCT Agent      2678MiB     2679MiB     20.7%   4.112661s
Recycle-UCT    2179MiB     2179MiB     20.7%   2.188688s
UCT Agent      659MiB      659MiB      20.7%   0.700972s
Recycle-UCT    135MiB      135MiB      20.7%   0.193423s
UCT Agent      53MiB       53MiB       20.7%   0.104719s
Recycle-UCT    1MiB        1MiB        20.7%   0.054613s
UCT Agent      3MiB        3MiB        20.7%   0.043962s
Recycle-UCT    0MiB        0MiB        20.7%   0.020956s
UCT Agent      3072MiB     3074MiB     20.5%   4.633051s
Recycle-UCT    2678MiB     2679MiB     20.4%   3.993687s
UCT Agent      2196MiB     2196MiB     20.6%   2.709675s
Recycle-UCT    516MiB      516MiB      20.7%   0.587044s
UCT Agent      178MiB      179MiB      20.7%   0.258435s
Recycle-UCT    0MiB        0MiB        20.7%   0.071478s
UCT Agent      12MiB       12MiB       20.7%   0.063139s
Recycle-UCT    0MiB        0MiB        20.7%   0.041973s
UCT Agent      0MiB        0MiB        20.7%   0.036277s
Recycle-UCT    3059MiB     3060MiB     20.6%   4.551091s
UCT Agent      2678MiB     2679MiB     20.6%   3.994177s
Recycle-UCT    2185MiB     2185MiB     20.6%   3.061604s
UCT Agent      667MiB      667MiB      20.6%   0.701429s
Recycle-UCT    138MiB      138MiB      20.6%   0.200052s
UCT Agent      52MiB       52MiB       20.6%   0.104597s
Recycle-UCT    1MiB        1MiB        20.6%   0.054191s
UCT Agent      3MiB        3MiB        20.6%   0.044553s
Recycle-UCT    0MiB        0MiB        20.6%   0.036984s
UCT Agent      3062MiB     3064MiB     20.5%   4.485894s
Recycle-UCT    2678MiB     2679MiB     20.6%   4.146974s
UCT Agent      2205MiB     2205MiB     20.6%   2.895916s
Recycle-UCT    532MiB      532MiB      20.6%   0.490447s
UCT Agent      186MiB      187MiB      20.5%   0.22879s
Recycle-UCT    2MiB        2MiB        20.5%   0.061541s
UCT Agent      13MiB       13MiB       20.5%   0.055314s
Recycle-UCT    0MiB        0MiB        20.5%   0.03393s
Recycle-UCT    3058MiB     3060MiB     20.5%   4.495393s
UCT Agent      2680MiB     2681MiB     20.6%   4.075727s
Recycle-UCT    2192MiB     2192MiB     20.5%   2.792332s
UCT Agent      586MiB      586MiB      20.5%   0.607836s
Recycle-UCT    103MiB      103MiB      20.5%   0.148661s
UCT Agent      50MiB       50MiB       20.5%   0.123476s
Recycle-UCT    0MiB        0MiB        20.5%   0.049399s
UCT Agent      3MiB        3MiB        20.5%   0.028219s
UCT Agent      3063MiB     3064MiB     20.5%   4.505976s
Recycle-UCT    2680MiB     2681MiB     20.5%   4.274195s
UCT Agent      2196MiB     2196MiB     20.5%   3.074564s
Recycle-UCT    693MiB      693MiB      20.5%   0.699572s
UCT Agent      182MiB      183MiB      20.5%   0.204405s
Recycle-UCT    0MiB        0MiB        20.5%   0.065628s
UCT Agent      12MiB       12MiB       20.5%   0.062304s
Recycle-UCT    0MiB        0MiB        20.5%   0.041767s
UCT Agent      0MiB        0MiB        20.5%   0.028748s
Recycle-UCT    3070MiB     3071MiB     20.5%   4.550713s
UCT Agent      2678MiB     2679MiB     20.6%   3.99667s
Recycle-UCT    2187MiB     2187MiB     21.2%   2.779191s
UCT Agent      600MiB      600MiB      21.2%   0.646216s
Recycle-UCT    123MiB      124MiB      21.2%   0.202389s
UCT Agent      47MiB       47MiB       21.2%   0.107997s
Recycle-UCT    0MiB        0MiB        21.2%   0.046057s
UCT Agent      3066MiB     3067MiB     20.8%   4.606681s
Recycle-UCT    2678MiB     2679MiB     20.9%   4.010759s
UCT Agent      2198MiB     2199MiB     20.8%   2.741788s
Recycle-UCT    524MiB      524MiB      20.8%   0.531339s
UCT Agent      178MiB      178MiB      20.8%   0.24479s
Recycle-UCT    0MiB        0MiB        20.8%   0.068237s
UCT Agent      12MiB       12MiB       20.8%   0.056139s
Recycle-UCT    0MiB        0MiB        20.8%   0.03464s
UCT Agent      0MiB        0MiB        20.8%   0.020843s
Recycle-UCT    3059MiB     3061MiB     20.8%   4.744734s
UCT Agent      2677MiB     2677MiB     20.8%   3.980973s
Recycle-UCT    2187MiB     2187MiB     20.8%   2.674166s
UCT Agent      717MiB      717MiB      20.8%   0.806129s
Recycle-UCT    90MiB       90MiB       20.8%   0.15818s
UCT Agent      53MiB       53MiB       20.8%   0.140989s
Recycle-UCT    0MiB        0MiB        20.8%   0.054115s
UCT Agent      3MiB        3MiB        20.8%   0.043758s
Recycle-UCT    0MiB        0MiB        20.8%   0.020476s
UCT Agent      3072MiB     3073MiB     20.9%   4.580349s
Recycle-UCT    2678MiB     2679MiB     20.8%   4.089397s
UCT Agent      2205MiB     2205MiB     20.5%   2.886245s
Recycle-UCT    524MiB      524MiB      20.6%   0.494705s
UCT Agent      186MiB      186MiB      20.6%   0.226735s
Recycle-UCT    2MiB        2MiB        20.6%   0.067398s
UCT Agent      13MiB       13MiB       20.6%   0.058797s
Recycle-UCT    0MiB        0MiB        20.6%   0.029715s
Recycle-UCT    3059MiB     3060MiB     20.8%   4.671396s
UCT Agent      2678MiB     2679MiB     20.6%   4.132596s
Recycle-UCT    2203MiB     2204MiB     20.6%   3.466347s
UCT Agent      732MiB      732MiB      20.6%   0.753021s
Recycle-UCT    99MiB       100MiB      20.6%   0.137561s
UCT Agent      52MiB       52MiB       20.6%   0.103288s
Recycle-UCT    1MiB        1MiB        20.6%   0.053077s
UCT Agent      3MiB        3MiB        20.6%   0.043997s
Recycle-UCT    0MiB        0MiB        20.6%   0.034523s
UCT Agent      3065MiB     3066MiB     20.3%   4.517729s
Recycle-UCT    2680MiB     2681MiB     20.1%   3.62258s
UCT Agent      2197MiB     2197MiB     20.1%   2.350456s
Recycle-UCT    517MiB      517MiB      20.1%   0.397682s
UCT Agent      180MiB      180MiB      20.1%   0.195212s
Recycle-UCT    0MiB        0MiB        20.1%   0.053247s
UCT Agent      12MiB       12MiB       20.1%   0.047336s
Recycle-UCT    0MiB        0MiB        20.1%   0.030138s
UCT Agent      0MiB        0MiB        20.1%   0.015108s
Recycle-UCT    3065MiB     3066MiB     20.1%   4.172902s
UCT Agent      2680MiB     2681MiB     20.1%   4.274915s
Recycle-UCT    2180MiB     2180MiB     20.1%   3.024063s
UCT Agent      737MiB      737MiB      20.1%   0.765993s
Recycle-UCT    85MiB       85MiB       20.1%   0.129332s
UCT Agent      52MiB       52MiB       20.1%   0.104129s
Recycle-UCT    0MiB        0MiB        20.1%   0.054333s
UCT Agent      3MiB        3MiB        20.1%   0.04483s
Recycle-UCT    0MiB        0MiB        20.1%   0.037035s
UCT Agent      3065MiB     3066MiB     20.1%   4.56679s
